,logFC,mod_t,p,fdr_all,kME,fdr_in_module
ZYX,0.20684989784232677,2.0330461956260453,0.04543155927653776,0.35781324220420035,0.859350985169652,0.09597079310086966
TRIM28,0.12487294935857562,1.9005211036248006,0.06103953925148807,0.3778316188367068,0.8593328242725476,0.11135591620203905
STRN4,0.15300253588190493,1.975412365727998,0.051739624360026375,0.3663276446966091,0.856345434584852,0.10271837189122883
MAP1S,0.14956748887772475,2.3134055955729966,0.02332126369077393,0.30082695415015437,0.8557043885492078,0.06698660847349959
TBC1D17,0.15696286530460046,2.1117503324055042,0.037891883382796886,0.3365206499494275,0.8533736291281377,0.08774526660438464
PIP5K1C,0.1562978476565613,2.632163990274983,0.01021358222516798,0.2717561180351794,0.8528412030695642,0.04807995515163572
IL2RG,0.275620774028428,2.375454104394651,0.019969191852405036,0.2928538297944816,0.8524058404290641,0.06317281564049458
MIR5193,0.19048938763260193,3.375212248521059,0.001149317002119454,0.26470869863932694,0.8488110653582209,0.023762740712638883
SLC25A1,0.21580598989657052,3.303604754857776,0.0014398917363603436,0.26470869863932694,0.8480971637733573,0.023762740712638883
VAMP2,0.17906126398149347,2.11027079383373,0.03802294886190001,0.3365206499494275,0.8447667968586307,0.08774526660438464
PPP2R4,0.18318399910405248,2.864598706970516,0.005355821931209509,0.26470869863932694,0.8399010425841201,0.03890466801866479
ITGA5,0.12911224075437389,1.6357656932996405,0.10589621198101537,0.4409822648657978,0.8395310882943885,0.15477552800957411
ATP13A2,0.14046040228157386,2.2004280473719318,0.030719245576670072,0.32088766024272364,0.8389708158433639,0.08131565005589138
CD37,0.24453701253945148,2.348113108340857,0.021389527261042568,0.29845325410193124,0.8311965804001625,0.06613172420868299
PFN1,0.13663994987070716,1.7444953299954287,0.08499057635608039,0.4111122546358004,0.830960037058483,0.13527054858270351
MYO9B,0.16581785612412148,2.636689890124571,0.010089475054033504,0.2710919589567849,0.8303174484603626,0.04807995515163572
RENBP,0.15165662220267517,1.6175460440224652,0.10977598697754497,0.447104510887858,0.8286783120617235,0.15935223916095237
ARFIP2,0.07598643093904656,1.2360751464223017,0.22012018919231374,0.5581471588994596,0.8285077663333473,0.26892511801775887
PLD3,0.057832382143446104,0.8984495878605026,0.37169615972665015,0.6770788335575829,0.8267384664322073,0.40962433929059405
CNOT1,0.2025104399688482,2.721524390999992,0.008002739883693995,0.26470869863932694,0.8202691096047005,0.04224155454507058
FMNL1,0.14446672505535574,1.583043141459268,0.11743639819266073,0.45660325706956556,0.8197261708062624,0.16688330269483367
CALCOCO1,0.0305381484187901,0.47730533428401106,0.6344722596336957,0.8375242287350305,0.8169780398569262,0.6639825972910769
CORO1B,0.20808925389361388,2.9591587682761937,0.004077345868552786,0.26470869863932694,0.8149768549785258,0.03617136034258895
CD4,0.09329506347184147,1.4527586949756253,0.15028041851023535,0.4937776455392663,0.8148879886390002,0.201869218894346
IL32,0.30082342825750974,2.0589066120442716,0.042823109737203505,0.3501236104647945,0.8138132359117447,0.09436380213972503
SPTAN1,0.13769073773679086,1.7648792313583233,0.08147735060502807,0.4066777399416803,0.8082478821375706,0.13413954063022915
DDX41,0.19818692034414376,3.383463300347308,0.0011196350916908985,0.26470869863932694,0.8063876774205285,0.023762740712638883
AP1G2,0.15734266078606174,2.6062546495132346,0.010951094220674334,0.2787270026222479,0.8051720839614661,0.05011517694206899
PNPLA2,0.2364933749702116,3.408186387141158,0.0010349634820308023,0.26470869863932694,0.8003904008471897,0.023762740712638883
BANF1,0.21269930018869765,1.977115378533836,0.051543031343382735,0.3663276446966091,0.7987258929686981,0.10271837189122883
PDLIM7,0.14764462106306597,2.0128950855112278,0.047557666318819476,0.3615224496973158,0.797276079510096,0.09752436750282513
SFXN3,0.24709056350704195,4.029971075592574,0.0001282117279457354,0.24754021474094487,0.7947508134229551,0.013408549775701092
DCTN1.1,0.1542999526152542,2.492233355923295,0.014802935730416548,0.2806935042702915,0.7945637092866472,0.05792453111902128
CST3,0.10023360720758667,1.017802862381637,0.31190140657038,0.6312145826545403,0.7911914275884468,0.35533071634600255
SIGIRR,0.15635390107892633,2.4100103704312983,0.01829442197518345,0.29019848943028675,0.7884825079989282,0.06174367416624414
FCHO1,0.14546360852065554,2.1827173931885873,0.03204858901110353,0.32371949214130363,0.7863142450247278,0.08163319842450899
MAP4K1,0.25117316963653646,3.8396520068377256,0.000248306477327798,0.26470869863932694,0.7819270291146293,0.013408549775701092
PKN1,0.04592876374813315,0.6384876424072942,0.5250165626120242,0.7756448233167367,0.7764117037378431,0.5602943553567057
BTBD2,0.14418527942361692,1.957229184150471,0.05387881870542875,0.36963057604257343,0.7749472174491603,0.10465669820478966
CCDC92,0.17644180135411958,3.0332381490933615,0.00327983462894964,0.26470869863932694,0.7736641668376932,0.0327983462894964
GPI,0.3092010814652433,3.4886412072049584,0.0007993360810233006,0.26470869863932694,0.7723593432465025,0.023762740712638883
ZNF580,0.14124479298883674,2.191306271144635,0.031397766598575724,0.321598668673937,0.7696424450868482,0.08151343251553313
RCN3,0.13808800946737065,2.0831080791791394,0.040499923401759994,0.3434264862620519,0.76929043285822,0.09189058250819494
SH3BGRL3,0.22680928076802775,2.4152721068593968,0.01805071374101739,0.28960400481784926,0.7689126213722166,0.06169231278575563
VPS37B,0.1662878502417362,2.4724310599140775,0.015584187064126719,0.2812019868780676,0.7688379738372618,0.059039552266089396
HSPB1,0.3061413750342883,3.282725541230234,0.001536826509418798,0.26470869863932694,0.7678426505866978,0.023762740712638883
TRANK1,0.14662772690910675,1.5886551997681388,0.11616204266581705,0.45540470619845774,0.7675690091725441,0.1668284655306947
MID1IP1,0.13281548673194,1.7512785360980747,0.08380785839221068,0.4091943811936347,0.7646043785430113,0.13527054858270351
COL6A2,0.10219603014990497,1.6736091721737432,0.09819187460664316,0.43226813853706264,0.7619547695000987,0.15063526218064577
UCP2,0.1468766565848778,1.746262312220899,0.08468116841527205,0.4106450589283348,0.7601763267793983,0.13527054858270351
ISYNA1,0.08226566680295022,1.2396380343952842,0.2188060765511009,0.5570154721651587,0.7579303008245127,0.26853473031271474
MICU1,0.35355921961074355,3.857578849353602,0.0002335016061658479,0.26470869863932694,0.7528017131046247,0.013408549775701092
CAPNS1,0.15926745409465237,1.9079321735241506,0.06006029272521919,0.3776477440930619,0.7478366359643586,0.11031482337285159
ERAL1,0.1493741536348061,2.1855657101203967,0.03183146344861441,0.32367103028167876,0.7466404865034714,0.08163319842450899
SBF1,0.09509372692275253,1.5223763310897294,0.131937106081554,0.4728533515492449,0.7462830239016257,0.1817500951123448
LOC399491,0.17206613845214846,2.6868933977393317,0.008801785295575144,0.26609896397716015,0.7447548860864776,0.044008926477875715
SLC9A3R1,0.2752385302331204,3.858960953483606,0.00023239593804036624,0.26470869863932694,0.7446387821561508,0.013408549775701092
GPSM3,0.1386717125193675,2.057232739141925,0.04298795430809696,0.35041146108198457,0.7437709879815705,0.09436380213972503
ZC3H3,0.07685585601516376,1.1692382031248267,0.24584931304227822,0.5794652015637234,0.74278767968976,0.2937137810682085
CD3E,0.16719820044786182,1.8812344609486313,0.06365130265380123,0.37846342075060435,0.7423189753976189,0.11457234477684222
ATP2A3,0.16960778781141794,2.9389569348399336,0.004324067163274231,0.26470869863932694,0.7422786509663083,0.03617136034258895
ALG3,0.1949717680359826,3.0568809260651735,0.003057506691841088,0.26470869863932694,0.7388566579973566,0.031751031030657455
PCGF1,0.14777248266065746,1.950449963189402,0.05469540798688328,0.372584898660649,0.7388298853399122,0.10479882513503644
VPS51,0.13804532643929956,2.4824727364242634,0.01518351131472306,0.2809674523556947,0.7386559302664973,0.05856497221393181
CTRL,0.18444071109518667,2.2060234819141655,0.030309410514582,0.3195254938413227,0.7385570004301293,0.08102515682115981
LOC100862671,0.14658445318657964,2.0324114385916867,0.04549726487744932,0.3578657015266807,0.7373247626282503,0.09597079310086966
POLD2,0.14875772105832485,1.9501789085789127,0.05472827534829681,0.37262097800112415,0.734293463926882,0.10479882513503644
NDUFV1,0.20994649886314232,2.8097622723951923,0.006256967844327134,0.26470869863932694,0.7333589686388652,0.04015137693090808
