,logFC,mod_t,p,fdr_all,kME,fdr_in_module
PRICKLE3,0.1402157945668452,2.1691364654041396,0.0331017376867952,0.32774357863519205,0.5211484473164959,0.08352774930312809
SASH3,0.19182018863407269,2.7159163813759246,0.008127471358142157,0.26470869863932694,0.5177222543997579,0.04224155454507058
P4HTM,0.11485898825695884,1.856859635340158,0.06708609550023083,0.3835315485133755,0.5165728733841345,0.11685965022620853
CTSD,0.07424481515723436,1.0835593641785,0.28188041005782655,0.6085553932870302,0.5155993612380199,0.32884153705895003
MEGF6,0.13555524697547483,2.2195897961303706,0.02933557141492459,0.3179392523437897,0.5151916931861065,0.07920604282029639
ENO2,0.14073237733317523,2.3410726788125498,0.02176949094419558,0.3004186683713232,0.515043058812739,0.06613172420868299
PIEZO1,0.12126574394781642,1.892529173651486,0.062110607287426706,0.3779694200766232,0.5147780370035343,0.11254942260137725
FCGBP,0.08762392307003353,1.2801937676517425,0.20425082031868186,0.5431737220517173,0.5101586227314796,0.2576996331123556
RHOB,-0.057714796639763755,-0.7887554517821992,0.43263296248913213,0.7191039832788859,0.5087521015289305,0.4710116930325229
CORO7,0.10689761363579198,1.367307443323653,0.17543521956286204,0.5160206574941353,0.5084775745218799,0.22993936544646967
PDCD4-AS1,0.0666995247508293,1.082018705821974,0.28256013554694964,0.6092385005995488,0.50748252529527,0.32884153705895003
HHLA3,0.1496679513295165,2.1440802950463906,0.035124148352032654,0.331369646922676,0.5074230266747126,0.08700477114723684
SDAD1,0.02130502357179065,0.32388717110342213,0.7468856705637811,0.8967281361532382,0.5063434944610312,0.7667647568525509
ABHD17A,0.17459125786600005,2.58935705529769,0.01145773118350305,0.2791810710045774,0.5063318684072121,0.050183648086570685
RNF208,0.17319781778950105,2.7086440540195156,0.008291860706995335,0.26470869863932694,0.5054723181776198,0.04224155454507058
FCER2,0.2629307001106924,2.5634698008520767,0.012275104512147932,0.2795059819889614,0.5049749340759957,0.051785597160624086
LTBP3,0.07529596511591308,1.0617582795460185,0.2916042688979522,0.6148373842418825,0.5044148209862295,0.3364664641130218
DGKZ,0.08827961032687348,1.3783442912531196,0.1720166903624151,0.5126854236042079,0.5035928897012758,0.22655856779440037
PCOLCE,0.13838773499049806,2.0456639716145535,0.044142270388108674,0.35574405742116205,0.5015370090697974,0.09597079310086966
CAPN15,-0.0003077945772917978,-0.0043273749826869485,0.9965582542207245,0.9989234447669726,0.5013744581139742,0.9965582542207246
PCBP1,0.07243343029167804,1.0267934352553882,0.3076744470630847,0.6279205987533588,0.5007224959571789,0.35349830088099093
EXOSC10,0.20632113758712078,2.9938069933650415,0.003684292159672175,0.26470869863932694,0.500559164873074,0.0355271029682674
CST7,0.30827450841558957,2.7341439730127073,0.007728423323414416,0.26470869863932694,0.5000024962603014,0.04224155454507058
TPM2,0.13598801408408967,1.6591088713493543,0.10108820945498766,0.4371963510231866,0.4992334569399418,0.15330301816090675
HPD,0.08622602254311884,1.2515598557387253,0.21445068283358176,0.5526612979483645,0.4976047291790988,0.2643912528085255
AARS,0.06858530402985918,1.010751499256804,0.31524381305715304,0.633621063081533,0.4942637742072344,0.356133177930675
GSTM2,0.05751288635905105,0.711214378064231,0.47906150933180797,0.7484839487570975,0.4907245107576082,0.5173864300783526
MAP3K14,0.14873214883013386,2.3724367504785624,0.020121711648453833,0.29431269797494974,0.489572078266361,0.06317281564049458
PDLIM2,0.018024690936083054,0.28211548109904083,0.7785981448385063,0.9109483903077178,0.4893238544195857,0.7932886758731951
PLCXD1,0.08128259618961398,1.2540561859836494,0.21354682159708427,0.5523266052394187,0.4882366712275441,0.2643912528085255
NAALADL1,0.006143968718189896,0.08246484897833105,0.9344871894775343,0.9768431775439149,0.4856314430485379,0.9379611195499415
DOK2,0.05160097485422721,0.800958122271313,0.42557590241263676,0.7153590203850385,0.480707206583929,0.46520442773850984
RHBDF2,0.1479570648569637,2.2982866882935595,0.024209946294135035,0.301662308505425,0.4771818442513337,0.06880721578333115
YWHAE,-0.061254252313639235,-0.6470056570151899,0.5195176194505607,0.7731189881589111,0.4754882760846263,0.5566260208398865
MIR6743,0.12907448612786698,2.1129231890652425,0.037788263895460944,0.3365206499494275,0.4746683183961183,0.08774526660438464
DGKA,0.027439154965921198,0.3738175110901864,0.7095488193776822,0.8781164919684535,0.4617965695343272,0.7368391585845161
RASSF1,0.07458281632419883,1.1801079517559976,0.24152455416542917,0.5755959001138732,0.4486857995380543,0.289829464998515
TBKBP1,0.12695766547149168,1.8411919640820762,0.06937500024160372,0.3892084384662824,0.4481105651541584,0.11930732525626116
DDX11.2,0.13116797207824504,1.775249211220162,0.07973666575718741,0.4049574437044972,0.402906443610751,0.1322659206339494
CDC25B,0.12977444577482178,1.9684517995933497,0.052549801745198306,0.36741364231058204,0.393091941589942,0.10356530270951492
