,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME15,ME16,ME17,ME18,ME19,ME20,ME21
GSM1123352,1.8625641711222993,-1.08129670754693,-0.6225243840769478,-1.861672831315716,-0.0722740589885869,-0.08936485180447372,-1.089092560204832,-0.34972372470695196,-0.7716776840536013,-0.46510617158376294,-0.14126273804069248,-0.6427639810248857,-0.5964216950365986,-0.42375622206103203,1.3693662580234645,0.016554775395721234,0.48983680589592365,0.870145320665785,0.357922126539067,0.9372473932660245,0.8737386856509352
GSM1123355,-0.321509079392731,0.5007818327633603,0.0504371638851716,-0.38328298531390304,-0.2877209825795585,-0.12862067717829323,-0.12062535872614374,0.8298267514595637,0.2810438488523288,-0.03964344466679761,-0.853385677387922,0.9746319730083706,0.7466798331035834,0.3429803728607445,-0.6691315434738939,-0.06379077592208691,0.500231086430764,-0.17308737634296542,-0.7632703885680657,-0.10325671291509585,1.148616725601781
GSM1123358,0.37064539732401103,-0.27702568900518715,-1.6490928401390907,-2.6310247004995104,-0.16948088189462232,-0.12453338224109968,-1.7158902480129428,0.08503340553006247,-1.0048030918517978,-0.6026373587364261,-0.5693678288113834,0.11366464917377796,0.5654635817722257,-0.014498948600613269,0.954326178233996,-0.7994069915497259,-1.8079833369409406,-0.6985994443082262,-0.10776435923362862,-0.4123589961289105,0.503856233717077
GSM1123361,-0.14798341744496551,0.6126004190138008,1.2844800493795436,-1.388045885974749,-0.8243537773014257,-0.21269438404626062,1.0734976288260039,-0.4459880472569381,-0.2178926431810737,-0.9091509543717678,-1.0044317983549627,-0.5772109770626781,-0.341127444935767,0.05672549115356881,-0.49172746264144523,-0.31543960032090357,-0.3079197094874301,0.45130023586977974,-1.3127107266389195,-0.6959842291034042,1.2418276731920967
GSM1123364,0.6371815542250826,2.4212570509870717,3.00492007125392,-1.3139435288581651,0.936252748869802,0.3572765601206055,1.2215057320406952,2.0075422009386386,0.60139439683298,-0.802451436101473,0.1918318777629987,-0.5642862547755642,-0.8971467920018821,4.085916453224571,-1.1875772173329593,-2.945041788773657,-1.1130996791416716,1.7719208087585665,-0.7433107921841617,-0.16955624918288414,-1.2742859631732275
GSM1123367,-0.22430243854704696,-0.3909363459847752,-0.29246604240794666,-1.673914965410427,0.2311578493141895,-0.2607829327598936,-0.3680818962116837,1.6083412567069966,-1.2547279661415771,0.2194269596829126,-0.048847322557779314,0.26779129943143426,0.0815800238171298,1.2516385441020503,1.314399679250821,-0.3701069490620506,-0.3300429405459765,0.8073123341022234,0.32753355011832624,0.6189084878710128,0.8481422603984662
GSM1123370,-0.4564850850838498,-0.21429564167760418,-0.4604768678555083,2.213856345060478,1.9215061414912822,-0.06356352120801743,0.5891118784995942,1.0059829870182526,0.8164274926513536,0.527062886898182,-0.24926990843590627,0.40930829135499414,-0.15992876318754146,2.734540306437971,-1.167035234248724,-0.8405788051285346,-0.4256850191765437,-0.8044883027585142,-0.6166476623712162,-0.648032218338608,-0.785055491739866
GSM1123373,0.28094291560000295,-0.06920899455530051,0.15289096132657662,-1.9219995665166625,-0.582452526233315,-0.8225686394542085,0.14104425821196123,-1.180488046415504,0.8976298292114264,-0.10857951017674435,-1.2953961031533083,1.1587866903807225,0.6906634813509668,-0.5319354481781036,-1.056729612650001,0.07183790012599726,-2.5767796178966487,-0.8147165678990249,-1.5417745867695631,-0.8468421178378936,-0.05042122390720545
GSM1123376,-0.722487841405885,0.25739028206878845,0.606939079706672,1.5076095857383107,-0.30322951524566794,-0.41384689042361006,0.15065859047608415,-0.4557421847218145,0.11810406519474893,-0.3828633357289183,-0.9629639567409304,-0.43621295796732923,1.4103300815855673,-0.6365459450122118,-0.7651989805304477,0.5164497871930284,1.5477853912534136,0.044666000954883406,-0.8262089808962222,-0.13653674620149334,-0.2368430916968557
GSM1123379,-0.8910525170558463,-0.786327970492763,-2.6422535005469387,-0.1906497991520712,-1.0634637057998377,-1.0943803141547332,-2.194866000963278,-1.575719038517539,-1.2677504513693767,-0.12558151179076912,-1.0531575394030126,-0.33186700033295813,-0.13749281443272673,0.2916700191717063,1.5315244717489567,1.3801800488658467,0.039454741123865836,-1.03062563184925,0.5864749250755984,0.5213898857719617,0.6511915832198433
GSM1123382,-0.3028902194499687,0.475682344206761,-0.9813181356878584,0.4609412945912065,0.24983773121453998,-0.04580981098040983,-0.9483579118333592,-0.9091671938637322,-1.347417500980945,-0.037216415342086376,-0.3080740544338968,-1.5222712558319202,0.22168776147960506,-0.8172357621915202,1.4544363501214905,1.233672017639074,2.13311807768836,1.3292743177504738,0.9646190946624782,1.8762185318068376,0.2048885717482059
GSM1123385,-0.4004614549443099,0.29744807321372857,-0.3181586271532823,0.7372590570864699,2.1172349136235145,0.16530524619084877,-1.174483361775485,-0.5090179295771227,-1.4022839910293055,-0.3307661325644402,0.35118450116385225,0.8755307791339246,-0.17866686522860353,0.080499137963745,1.4905025733868356,0.04591737824194125,0.7879920027280545,1.3299455338505475,0.6188537947447205,1.6438697409360103,-0.308176673018428
